LAT,LON,Distillery,Note
56.6645893,-2.5269983,Arbikie Highland Estate Distillery, Not open to the public
57.3515482,-2.7455063,Ardmore Distillery,Available by request https://www.ardmorewhisky.com/#contact
56.6914838,-5.9406575,Ardnamurchan Distillery,
57.839926,-4.1811772,Balblair Distillery,
56.8347322,-5.0742007,Ben Nevis Distillery,
56.6982678,-3.721905,Blair Athol Distillery,www.wanderingspirits.global/blair-athol-distillery
58.02352,-3.8692649,Clynelish Distillery,www.wanderingspirits.global/clynelish-distillery
57.6882516,-4.2392179,Dalmore Distillery,www.wanderingspirits.global/dalmore-distillery
56.939995,-4.23914,Dalwhinnie Distillery,
56.1887007,-4.0700416,Deanston Distillery,
56.624255,-3.850833,Dewar's Aberfeldy Distillery,
57.879746,-4.029606,Dornoch Distillery,Currently making gin and starting to lay down whisky cask. Contact them directly and see if they'll let you take a look.
56.7021541,-3.6995815,Edradour Distillery,www.wanderingspirits.global/edradour-distillery
56.8532226,-2.5818346,Fettercairn Distillery,
56.7365083,-2.6528111,Glencadam Distillery,Not open to the public.
57.4844969,-2.6258165,The GlenDronach Distillery,
57.3381982,-2.3194886,Glen Garioch Distillery,
57.6792423,-2.7380694,Glenglassaugh Distillery,
56.013889,-4.36362,Glengoyne Distillery,
57.8258519,-4.0779484,Glenmorangie Distillery,
57.522076,-4.475789,Glen Ord Distillery,www.wanderingspirits.global/glen-ord-distillery
57.6940876,-4.1564451,Invergordon Distillery,Not open to the public
55.9924113,-4.5766938,Loch Lomond Distillery,No open for visitors
57.657921,-2.5118029,Macduff Distillery,Not open to the public
56.623656,-5.990076,Nc'nean Distillery,"We only have two rules: you must pre-book and we’re sorry but we can’t accept children under the age of 12. To book, please select a date and book online or call us on 01967 421698. Visits either include coffee and cake or lunch. Some are designed specifically for visitors from Tobermory, who can come straight to us by boat."
58.4354,-3.0846999,Pulteney Distillery Co Ltd,
57.5388684,-3.9021205,Royal Brackla Distillery,Visit by appointment only
57.03014,-3.208845,Royal Lochnagar Distillery,www.wanderingspirits.global/royal-lochnagar-distillery
56.3959495,-3.6205101,Strathearn Distillery,Plans to build a visitor centre but currently not providing tours unless you're a Private Cask holder.
57.6913511,-4.2605065,Teaninich Distillery,Not open to the public
57.34345,-4.00361,The Tomatin Distillery Co Ltd,http://www.tomatin.com/about
57.7591585,-3.9208737,Toulvaddie Distillery,Not open to the public. Toulvaddie Distillery set to be the first Scotch Whisky Distillery founded by a woman in almost 200 years https://www.toulvaddiedistillery.com/home 
56.2580418,-3.7850948,Tullibardine Distillery,
57.053856,-2.4909599,Deeside (formerly Twin River) Distillery,https://www.facebook.com/Deesidebreweryltd/ https://www.facebook.com/Deesidedistillery
58.5912071,-3.5458202,Wolf Burn,
56.41495,-5.472281,Oban Distillery,
55.6406613,-6.1081021,Ardbeg Distillery,https://www.wanderingspirits.global/ardbeg-distillery
55.868521,-6.118387,Ardnahoe Distillery,
55.756868,-6.2898461,Bowmore Distillery,https://www.wanderingspirits.global/bowmore-distillery
55.7665253,-6.3622691,Bruichladdich Distillery,Whisky + Gin www.wanderingspirits.global/bruichladdich-distillery
55.88291,-6.125825,Bunnahabhain Distillery,www.wanderingspirits.global/bunnahabhain-distillery
55.8540991,-6.1093387,Caol Ila Distillery,https://www.wanderingspirits.global/caol-ila-distillery
55.7867166,-6.4301845,Kilchoman Distillery,https://www.wanderingspirits.global/kilchoman-distillery
55.635515,-6.126205,Lagavulin Distillery,https://www.wanderingspirits.global/lagavulin-distillery
55.6300569,-6.152204,Laphroaig Distillery,https://www.wanderingspirits.global/laphroaig-distillery
55.6341851,-6.1957983,Port Ellen Maltings and Distillery (retired),
57.4670295,-3.2281885,Aberlour Distillery,
57.3946639,-3.2064568,Allt-a-Bhainne Distillery,Not open to the public
57.5475195,-3.113793,Auchroisk Distillery,Not open to the public
57.5675492,-3.0021153,Aultmore Distillery ,John Dewar \\u0026 Sons Ltd - Tours available on request
57.405779,-3.3684511,Ballindalloch Single Estate Distillery,Tours available by appointment https://www.ballindallochdistillery.com/visiting-the-distillery
57.3254084,-3.5321072,Balmenach Distillery,Gin distillery tours and tastings available
57.4586733,-3.1272555,The Balvenie Distillery,
57.4418407,-3.2368704,Benrinnes Distiller," ""Not open to the public. Tours sometimes available as part of the Spirit Speyside Whisky Festival https://www.spiritofspeyside.com/events/849_benrinnes_distillery_tour"""
57.6111946,-3.2918802,The Benriach Distillery Co,Tours by appointment only
57.6135649,-3.6200172,Benromach Distillery,
57.2713235,-3.2590014,Braeval Distillery,Not open to the public
57.470459,-3.350074,Cardhu Distillery,
57.4097154,-3.3945394,Cragganmore Distillery,
57.4881543,-3.1850267,Craigelacchie Distillery,Not open to the public. Tours sometimes available during the Spirit of Speyside Whisky Festival https://www.spiritofspeyside.com/events/716_craigellachie_distillery_tour
57.4524554,-3.2731651,Dailuaine Distillery,Not open to the public
57.589762,-3.6139976,Dallas Dhu Distillery Museum,
57.4359175,-3.1280967,Dufftown Distillery,Not open to the public.
57.455161,-3.2287627,Glenallachie Distillery,"No official tours yet, but will do so in near future. Contact them to enquire https://www.theglenallachie.com/about-us/visit-us"
57.6217052,-3.5165051,Glenburgie Distillery,Not open to the public.
57.4480582,-3.1183576,Glendullen Distillery,Not open to the public.
57.5987675,-3.2776272,Glen Elgin Distillery,Not open to the public
57.426997,-3.3163594,Glenfarclas Distillery,http://www.wanderingspirits.global/glenfarclas-distillery
57.4547645,-3.1286601,Glenfiddich Distillery,
57.5300064,-3.2107114,Glen Grant distillery,http://www.glengrant.com/int/en/distillery/visitor-centre
