TITLE,LAT,LON,ICON,DESCRIPTION,CREDIT,LINK,URL,IMAGE,HTML
rentamotorcycle,55.896869,-3.066769,shop,rentamotorcycle H.Q.,,rentamotorcycle.co.uk,https://rentamotorcycle.co.uk,,<p>rentamotorcycle H.Q.</p><p><a href='https://rentamotorcycle.co.uk' target='_blank'>rentamotorcycle.co.uk</a></p><p></p>
Forth Rail Bridge,56.000739,-3.388631,attraction,"This railway bridge, crossing the Forth estuary in Scotland, had the world's longest spans (541 m) when it opened in 1890. It remains one of the greatest cantilever trussed bridges and continues to carry passengers and freight. Its distinctive industrial aesthetic is the result of a forthright and unadorned display of its structural components. Innovative in style, materials and scale, the Forth Bridge marks an important milestone in bridge design and construction during the period when railways came to dominate long-distance land travel.",Text credit: <a href='whc.unesco.org' target='_blank'>whc.unesco.org</a>,whc.unesco.org,http://whc.unesco.org/en/list/1485/,img/frb.png,"<p>This railway bridge, crossing the Forth estuary in Scotland, had the world's longest spans (541 m) when it opened in 1890. It remains one of the greatest cantilever trussed bridges and continues to carry passengers and freight. Its distinctive industrial aesthetic is the result of a forthright and unadorned display of its structural components. Innovative in style, materials and scale, the Forth Bridge marks an important milestone in bridge design and construction during the period when railways came to dominate long-distance land travel.</p><p><a href='http://whc.unesco.org/en/list/1485/' target='_blank'>whc.unesco.org</a></p><p>Text credit: <a href='whc.unesco.org' target='_blank'>whc.unesco.org</a></p><p><img src='img/frb.png' width='100%'/>"
Knockhill,56.129419,-3.504587,attraction,"Over 40 years as Scotland's National Motorsport Centre and host to the UK's top televised motorsport car and bike events. Knockhill is situated just 30 mins from Edinburgh, 40 miles from Glasgow and 2 hours from Aberdeen. Knockhill is a truly versatile venue and the perfect choice for all events including Corporate Days, Team Building, Karting, Trackdays and exciting Driving Experiences.<br/>Scotland's only accredited FIA and MSA approved venue! With extensive and ongoing investment in our facilities we are able to provide, new and exciting, experiences and racing events that are rivalled by no other. Our famous 1.27 mile long circuit, hillside rally stage, 4x4 off road track, 500m outdoor karting circuit, skid pan, restaurants and conferencing facilities form our unique venue.",Text credit: <a href='www.knockhill.com' target='_blank'>www.knockhill.com</a>,www.knockhill.com,http://www.knockhill.com,,"<p>Over 40 years as Scotland's National Motorsport Centre and host to the UK's top televised motorsport car and bike events. Knockhill is situated just 30 mins from Edinburgh, 40 miles from Glasgow and 2 hours from Aberdeen. Knockhill is a truly versatile venue and the perfect choice for all events including Corporate Days, Team Building, Karting, Trackdays and exciting Driving Experiences.<br/>Scotland's only accredited FIA and MSA approved venue! With extensive and ongoing investment in our facilities we are able to provide, new and exciting, experiences and racing events that are rivalled by no other. Our famous 1.27 mile long circuit, hillside rally stage, 4x4 off road track, 500m outdoor karting circuit, skid pan, restaurants and conferencing facilities form our unique venue.</p><p><a href='http://www.knockhill.com' target='_blank'>www.knockhill.com</a></p><p>Text credit: <a href='www.knockhill.com' target='_blank'>www.knockhill.com</a></p>"
Glendevon,56.230323,-3.701847,attraction,"Glen Devon is a picturesque glen in Perthshire, located near the small town of Auchterarder.<br/>
The glen stretches south eastwards from the source of the River Devon to Yetts o' Muckhart. The main road through the glen offers breathtaking views north to the famous Gleneagles Hotel and the mountains around Loch Earn, south into the heart of the glen with soft rolling hills rising on either side and the gentle River Devon on the valley floor.",Text credit: <a href='www.visitscotland.com' target='_blank'>www.visitscotland.com</a>,www.visitscotland.com,https://www.visitscotland.com/info/towns-villages/glen-devon-p250211,img/glendevon.png,"<p>Glen Devon is a picturesque glen in Perthshire, located near the small town of Auchterarder.<br/>
The glen stretches south eastwards from the source of the River Devon to Yetts o' Muckhart. The main road through the glen offers breathtaking views north to the famous Gleneagles Hotel and the mountains around Loch Earn, south into the heart of the glen with soft rolling hills rising on either side and the gentle River Devon on the valley floor.</p><p><a href='https://www.visitscotland.com/info/towns-villages/glen-devon-p250211' target='_blank'>www.visitscotland.com</a></p><p>Text credit: <a href='www.visitscotland.com' target='_blank'>www.visitscotland.com</a></p><p><img src='img/glendevon.png' width='100%'/>"
Drummond Castle,56.340599,-3.871147,castle,"Drummond Castle Gardens is one of Europe's and Scotland's most important and impressive formal gardens. Located in Perthshire near Crieff, it dates back to the 17th Century. The gardens were redesigned and terraced in the 19th Century. The formal gardens that you see today were replanted in the 1950s but preserve many of the original features, the ancient yew hedges and the remaining beech tree planted by Queen Victoria, commemorating her visit in 1842.<br/>The Gardens have featured in many films, TV programmes and adverts, most notably in the United Artist feature film Rob Roy and the Outlander series. Visitors are welcome to visit the gardens, although the castle remains closed to the public.",Text credit: <a href='www.drummondcastlegardens.co.uk' target='_blank'>www.drummondcastlegardens.co.uk</a>,www.drummondcastlegardens.co.uk,http://www.drummondcastlegardens.co.uk/,https://www.drummondcastlegardens.co.uk/wp-content/uploads/2015/03/Drummond-Gardens-Traquility-1024x629.jpg,"<p>Drummond Castle Gardens is one of Europe's and Scotland's most important and impressive formal gardens. Located in Perthshire near Crieff, it dates back to the 17th Century. The gardens were redesigned and terraced in the 19th Century. The formal gardens that you see today were replanted in the 1950s but preserve many of the original features, the ancient yew hedges and the remaining beech tree planted by Queen Victoria, commemorating her visit in 1842.<br/>The Gardens have featured in many films, TV programmes and adverts, most notably in the United Artist feature film Rob Roy and the Outlander series. Visitors are welcome to visit the gardens, although the castle remains closed to the public.</p><p><a href='http://www.drummondcastlegardens.co.uk/' target='_blank'>www.drummondcastlegardens.co.uk</a></p><p>Text credit: <a href='www.drummondcastlegardens.co.uk' target='_blank'>www.drummondcastlegardens.co.uk</a></p><p><img src='img/drummond_castle.jpg' width='100%'/>"
Glen Turret Distillery,56.389375,-3.853735,alcohol-shop,"Nothing has ever been ordinary about The Glenturret, Scotland's oldest working distillery.<br/>Since its origins among the smugglers and illicit stills of the 18th century, it has had some fascinating stories to tell.<br/>Whisky booms and prohibition might have ruffled its feathers, but The Glenturret scotch malt whisky, still made by hand in the traditional way, weathered all these challenges and has matured into an enduring brand that remains as the only traditionally hand mashed whisky in Scotland.<br/>These days Glenturret's doors are open to welcome visitors and, as home to The Famous Grouse, the UK's favourite blended whisky, it's the perfect place to brush up on your whisky knowledge with a tour of The Famous Grouse Experience, and indulge your passion with a selection of tastings.",Text credit: <a href='www.theglenturret.com' target='_blank'>www.theglenturret.com</a>,www.theglenturret.com,http://www.theglenturret.com,img/glenturret.png,"<p>Nothing has ever been ordinary about The Glenturret, Scotland's oldest working distillery.<br/>Since its origins among the smugglers and illicit stills of the 18th century, it has had some fascinating stories to tell.<br/>Whisky booms and prohibition might have ruffled its feathers, but The Glenturret scotch malt whisky, still made by hand in the traditional way, weathered all these challenges and has matured into an enduring brand that remains as the only traditionally hand mashed whisky in Scotland.<br/>These days Glenturret's doors are open to welcome visitors and, as home to The Famous Grouse, the UK's favourite blended whisky, it's the perfect place to brush up on your whisky knowledge with a tour of The Famous Grouse Experience, and indulge your passion with a selection of tastings.</p><p><a href='http://www.theglenturret.com' target='_blank'>www.theglenturret.com</a></p><p>Text credit: <a href='www.theglenturret.com' target='_blank'>www.theglenturret.com</a></p><p><img src='img/glenturret.png' width='100%'/>"
The Sma' Glen,56.438491,-3.774703,attraction,"The Sma' Glen is a scenic glen in central Perthshire, located 5 miles (8 km) to the north of Crieff.<br/>The fast flowing River Almond runs along the narrow valley floor and the glen itself, is rather small, at only 4 miles (6.5 km) in length. The Romans built a fort and watchtower here, General Wade built a military road here in the 18th century and the glen featured in the 1981 film Chariots of Fire.<br/>At the northern end of the Sma' Glen keep an eye out for Clach Ossian or Ossian's Stone, an 8 ft high monolithic stone sited where the river and the road almost touch. This is reputed to be the burial place, in about 300 AD, of the legendary Gaelic bard Ossian. He was the father of Fingal who was immortalised in Mendelssohn's Fingal's Cave overture.",Text credit: <a href='www.visitscotland.com' target='_blank'>www.visitscotland.com</a>,www.visitscotland.com,https://www.visitscotland.com/info/towns-villages/sma-glen-p254371,img/sma_glen.png,"<p>The Sma' Glen is a scenic glen in central Perthshire, located 5 miles (8 km) to the north of Crieff.<br/>The fast flowing River Almond runs along the narrow valley floor and the glen itself, is rather small, at only 4 miles (6.5 km) in length. The Romans built a fort and watchtower here, General Wade built a military road here in the 18th century and the glen featured in the 1981 film Chariots of Fire.<br/>At the northern end of the Sma' Glen keep an eye out for Clach Ossian or Ossian's Stone, an 8 ft high monolithic stone sited where the river and the road almost touch. This is reputed to be the burial place, in about 300 AD, of the legendary Gaelic bard Ossian. He was the father of Fingal who was immortalised in Mendelssohn's Fingal's Cave overture.</p><p><a href='https://www.visitscotland.com/info/towns-villages/sma-glen-p254371' target='_blank'>www.visitscotland.com</a></p><p>Text credit: <a href='www.visitscotland.com' target='_blank'>www.visitscotland.com</a></p><p><img src='img/sma_glen.png' width='100%'/>"
Glen Quaich,56.554322,-3.940937,mountain,"Glen Quaich [7], between  Amulree and Kenmore, is a Pass on the unclassified at a height of 530 metres / 1739 feet.",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,en.wikipedia.org,https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland,img/glen_quaich.png,"<p>Glen Quaich [7], between  Amulree and Kenmore, is a Pass on the unclassified at a height of 530 metres / 1739 feet.</p><p><a href='https://en.wikipedia.org/wiki/List_of_the_highest_roads_in_Scotland' target='_blank'>en.wikipedia.org</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p><p><img src='img/glen_quaich.png' width='100%'/>"
Scottish Crannog Centre,56.579297,-4.003346,attraction,"Discover what life was like 2,500 years ago at the Scottish Crannog Centre, a unique reconstruction of an ancient loch dwelling in the heart of beautiful Perthshire.  Fun, exciting, inspirational and informative, this award winning centre has something for everyone, from the youngest explorer to the serious knowledge seeker!<br/>
The distinctive roundhouse sitting over stunning Loch Tay is one of the most recognisable sights in Perthshire, and draws on remarkable discoveries made by divers from the Scottish Trust for Underwater Archaeology during their underwater excavations of Oakbank Crannog at nearby Fearnan.",Text credit: <a href='www.crannog.co.uk' target='_blank'>www.crannog.co.uk</a>,www.crannog.co.uk,http://www.crannog.co.uk,https://www.crannog.co.uk/images/Our%20Favourite%20Images/favourites50.jpg,"<p>Discover what life was like 2,500 years ago at the Scottish Crannog Centre, a unique reconstruction of an ancient loch dwelling in the heart of beautiful Perthshire.  Fun, exciting, inspirational and informative, this award winning centre has something for everyone, from the youngest explorer to the serious knowledge seeker!<br/>
The distinctive roundhouse sitting over stunning Loch Tay is one of the most recognisable sights in Perthshire, and draws on remarkable discoveries made by divers from the Scottish Trust for Underwater Archaeology during their underwater excavations of Oakbank Crannog at nearby Fearnan.</p><p><a href='http://www.crannog.co.uk' target='_blank'>www.crannog.co.uk</a></p><p>Text credit: <a href='www.crannog.co.uk' target='_blank'>www.crannog.co.uk</a></p><p><img src='http://www.crannog.co.uk/images/gallery/rotator4.jpg' width='100%'/>"
Kenmore Hotel,56.585197,-3.999147,attraction,"Set in breathtaking scenery amidst the majestic mountains of Highland Perthshire, the Kenmore Hotel, Scotland's oldest inn, and is a fantastic destination whether you are looking for sport or adventure activities, want to explore the magnificent countryside or simply relax.<br/>Located in the pretty village of Kenmore, which lies to the East of Loch Tay with River Tay to the North, the Kenmore Hotel offers delightful rooms, delicious dining in our restaurant and traditional bars, all in an unrivalled location with stunning views across the Tay. It's the perfect place for a relaxing getaway, catching up with family and friends or, perhaps, escaping for a romantic rendezvous.<br/>NOTE: The urinals from Taymouth are of unusual design, and were apparently intended for men wearing kilts.",Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a>,www.kenmorehotel.com,http://www.kenmorehotel.com,http://www.kenmorehotel.com/files/7114/0870/7485/kenmore_slider.jpg,"<p>Set in breathtaking scenery amidst the majestic mountains of Highland Perthshire, the Kenmore Hotel, Scotland's oldest inn, and is a fantastic destination whether you are looking for sport or adventure activities, want to explore the magnificent countryside or simply relax.<br/>Located in the pretty village of Kenmore, which lies to the East of Loch Tay with River Tay to the North, the Kenmore Hotel offers delightful rooms, delicious dining in our restaurant and traditional bars, all in an unrivalled location with stunning views across the Tay. It's the perfect place for a relaxing getaway, catching up with family and friends or, perhaps, escaping for a romantic rendezvous.<br/>NOTE: The urinals from Taymouth are of unusual design, and were apparently intended for men wearing kilts.</p><p><a href='http://www.kenmorehotel.com' target='_blank'>www.kenmorehotel.com</a></p><p>Text credit: <a href='en.wikipedia.org' target='_blank'>en.wikipedia.org</a></p><p><img src='http://www.kenmorehotel.com/files/7114/0870/7485/kenmore_slider.jpg' width='100%'/>"
