DAY,LAT,LON,Notes
0,,,North Coast 500
1,,,"<p>The first day takes in some fabulous scenery.</p><p>Riding over the new Queensferry Crossing, which replaces the Forth Road Bridge, from which you can see the famous UNESCO Forth Rail Bridge.</p><p>Travelling through Gleneagles, past Glenturret Distillery, over Glen Quaich and into Kenmore, before tackling the highest roads in Scotland, based in the UK’s largest National Park, The Cairngorms.</p>"
1,57.475761,-4.225473,Inverness Castle
1,57.483527,-4.459848,Beauly
1,57.56915,-4.441182,Conon Bridge
1,58.643756,-3.069414,John o' Groats
1,58.568585,-4.746793,Durness
1,58.351647,-5.153007,Scourie
1,58.2434,-5.20238,Drumbeg
1,58.201724,-5.337879,Stoer
1,57.765691,-5.60339,Poolewe
1,57.577816,-5.808956,Fearnmore
1,57.433605,-5.813138,Applecross
1,57.483527,-4.459848,Beauly
1,57.475761,-4.225473,Inverness Castle
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,"<p>Loch Fyne, Loch Lomond and the Duke’s Pass are probably the highlights of the day.</p><p>Aberfoyle is a good place to stop for lunch.</p><p>The Duke’s pass, north of Aberfoyle offers great views of the surrounding area.</p><p>The Rob Roy Centre in Callander and the Trossachs Discovery Centre in Aberfoyle give interesting insights into the history of the area.</p>"
